Step,Training_Loss,Validation_Loss
1000,1.5991,1.470523
2000,1.6109,1.412594
3000,1.6068,1.352106
4000,1.6409,1.331243
5000,1.6609,1.291191
6000,1.6828,1.278833
7000,1.7165,1.275636
8000,1.778,1.279757
1000,1.3046,1.221841
2000,1.3364,1.164115
3000,1.3521,1.117199
4000,1.4081,1.099229
5000,1.4513,1.064871
6000,1.4954,1.05978
7000,1.5517,1.062642
8000,1.6366,1.07224
1000,1.039,1.010032
2000,1.091,0.959764
3000,1.123,0.921889
4000,1.1964,0.905597
5000,1.262,0.875508
6000,1.329,0.875481
7000,1.4098,0.884146
8000,1.5192,0.89967
1000,0.812,0.843712
2000,0.8731,0.794098
3000,0.9189,0.7593
4000,1.0051,0.748519
5000,1.0917,0.720862
6000,1.1814,0.724578
7000,1.2878,0.738745
8000,1.4234,0.759415
1000,0.6273,0.695391
2000,0.6835,0.659687
3000,0.7386,0.626413
4000,0.8349,0.620138
5000,0.938,0.594018
6000,1.0501,0.600745
7000,1.183,0.619837
8000,1.3466,0.645826
1000,0.4832,0.57956
2000,0.528,0.553404
3000,0.5849,0.520902
4000,0.6848,0.513841
5000,0.7985,0.489873
6000,0.9325,0.498506
7000,1.0921,0.521889
8000,1.2851,0.553111
