Step,Training_Loss,Validation_Loss, Epoch
500,4.403,3.997,10
1000,3.8737,3.99641,10
1500,3.7154,4.03864,10
2000,3.592,4.049905,10
2500,3.5154,4.074712,10
500,3.4246,4.138349,20
1000,3.3024,4.193385,20
1500,3.1952,4.269514,20
2000,3.0964,4.287905,20
2500,3.0484,4.323763,20
500,2.9324,4.476424,30
1000,2.7606,4.55313,30
1500,2.6899,4.64309,30
2000,2.6268,4.631961,30
2500,2.6193,4.655174,30
500,2.4644,4.935373,40
1000,2.2223,5.048713,40
1500,2.1995,5.126801,40
2000,2.1832,5.055418,40
2500,2.2249,5.055716,40
500,2.0249,5.471236,50
1000,1.7122,5.62081,50
1500,1.7383,5.681308,50
2000,1.7748,5.539335,50
2500,1.8701,5.50561,50
