Step,Training_Loss,Validation_Loss, Epoch
1000,2.999500,2.943590,10
2000,2.811700,2.934359,10
3000,2.703000,2.953015,10
4000,2.638700,2.958972,10
1000,2.913100,2.871765,20
2000,2.758900,2.877113,20
3000,2.652400,2.902655,20
4000,2.593600,2.915533,20
1000,2.624200,2.940331,30
2000,2.477300,2.994771,30
3000,2.386100,3.053478,30
4000,2.343000,3.057245,30
1000,2.585100,2.945604,40
2000,2.445000,2.985784,40
3000,2.355100,3.038591,40
4000,2.318100,3.046180,40
1000,2.309300,3.102213,50
2000,2.170900,3.183559,50
3000,2.104800,3.254459,50
4000,2.092700,3.235245,50
1000,2.268200,3.137221,60
2000,2.143800,3.184329,60
3000,2.081400,3.244637,60
4000,2.076800,3.225985,60
1000,1.988200,3.374233,70
2000,1.880000,3.440750,70
3000,1.849500,3.499730,70
4000,1.875900,3.445573,70
1000,1.949200,3.423194,80
2000,1.854900,3.447257,80
3000,1.831600,3.490031,80
4000,1.866900,3.434693,80
1000,1.680200,3.678719,90
2000,1.610000,3.725380,90
3000,1.620100,3.751318,90
4000,1.689300,3.666048,90
1000,1.641200,3.721732,100
2000,1.584400,3.736917,100
3000,1.606300,3.745243,100
4000,1.686100,3.655725,100
